"Game","Month","Average Channels Rank","Average Channels Streaming","Average Monthly Viewers","Average Viewer Rank","Peack Channels Streaming","Peak Channels Rank","Peak Viewer Rank","Peak Viewership","Total Hours Streamed","Total Hours Watched"
"League of Legends","December 2019","2","3098","105759","2","6392","2","8","223571","2302186","78579242"
"League of Legends","January 2020","2","3974","134129","1","8083","2","5","349964","2953365","99657869"
"League of Legends","February 2020","2","3668","175015","1","7253","3","2","412216","2549292","121635889"
"League of Legends","March 2020","3","4122","166352","1","8390","3","3","421581","3062720","123599885"
"League of Legends","April 2020","4","4814","188956","3","8802","5","3","727437","3461495","135859472"
"League of Legends","May 2020","4","4734","171868","3","8347","4","5","504630","3517695","127698472"
"League of Legends","June 2020","4","4168","199291","2","7519","5","5","556963","2997392","143290296"
"League of Legends","July 2020","4","4372","181861","2","7246","4","3","494759","3248650","135123272"
"League of Legends","August 2020","3","4375","191859","2","7440","4","4","707347","3250969","142551572"
"League of Legends","September 2020","3","4415","187772","3","6737","7","2","794857","3174675","135008222"
"League of Legends","October 2020","3","4531","230973","2","8520","6","1","2020835","3367157","171613067"
"League of Legends","November 2020","3","4718","168407","2","8877","9","9","345045","3392709","121085351"
"League of Legends","December 2020","3","4437","129761","3","7979","7","12","318449","3297197","96413165"
"League of Legends","January 2021","3","5860","229854","3","11606","3","6","689503","4354400","170781975"
"League of Legends","February 2021","4","5463","223876","2","9706","6","3","723964","3665750","150221076"
"League of Legends","March 2021","4","5069","201596","3","9258","5","2","857475","3766997","149786518"
"League of Legends","April 2021","5","4996","218350","3","8343","6","4","938847","3592720","156994170"
"League of Legends","May 2021","5","4732","234202","3","7731","9","2","1261107","3516137","174012672"
"League of Legends","June 2021","7","4247","205277","3","6455","10","3","710542","3053763","147594315"
"League of Legends","July 2021","7","3985","180839","3","6029","10","7","534048","2961094","134363514"
"League of Legends","August 2021","6","3989","185912","3","5628","8","2","954507","2964379","138132735"
"League of Legends","September 2021","5","3788","149383","3","5560","11","8","649344","2723708","107406590"
"League of Legends","October 2021","7","3351","280719","2","5375","8","1","2435596","2489811","208574800"
"League of Legends","November 2021","5","3366","142715","3","5296","10","1","3087270","2420283","102612188"
"League of Legends","December 2021","5","3318","128103","4","5291","13","6","591381","2465988","95180552"
"League of Legends","January 2022","5","4533","248024","2","8924","3","7","669460","3368623","184282005"
"League of Legends","February 2022","6","3785","200717","3","6195","10","7","642461","2540382","134681108"
"League of Legends","March 2022","7","3332","186490","2","5036","10","3","684463","2475818","138562317"
"League of Legends","April 2022","6","3507","180413","2","5044","9","3","1051564","2521545","129717062"
"League of Legends","May 2022","6","3411","214655","2","5157","7","2","1385974","2534691","159489005"
"League of Legends","June 2022","6","3106","165064","2","4476","11","6","487688","2233256","118681394"
"League of Legends","July 2022","6","3078","163239","2","4541","10","5","546382","2287292","121287274"
"League of Legends","August 2022","7","2994","179386","2","7219","7","3","854400","2224676","133284504"
"League of Legends","September 2022","6","2994","159303","3","4447","14","2","1026764","2152783","114539360"
"League of Legends","October 2022","7","2740","214867","2","4506","11","1","1594928","2036314","159646745"
"League of Legends","November 2022","9","2575","128852","3","4184","15","1","3145012","1851622","92645258"
"League of Legends","December 2022","9","2321","94055","4","5404","8","14","232769","1725112","69883580"
"League of Legends","January 2023","7","3181","170247","2","6356","5","5","640837","2363972","126494155"
"League of Legends","February 2023","8","2994","168252","2","5544","11","8","621379","2009279","112897378"
"League of Legends","March 2023","7","2966","165663","2","4736","11","7","565937","2204299","123088070"
"League of Legends","April 2023","7","3078","148915","3","4453","12","2","590729","2213492","107070100"
"League of Legends","May 2023","7","2947","168867","2","5141","9","3","941712","2189984","125468867"
"League of Legends","June 2023","9","2683","132672","3","3855","14","7","433090","1929571","95391662"
"League of Legends","July 2023","8","2884","147689","3","5149","8","5","451932","2143284","109733623"
"League of Legends","August 2023","8","2846","126801","4","4051","13","7","468659","2114952","94213289"
"World of Warcraft","August 2015","7","409","11538","6","1005","11","4","346511","304183","8572743"
"World of Warcraft","September 2015","8","346","7469","12","860","10","27","41532","249405","5370424"
"World of Warcraft","October 2015","8","328","6597","12","898","9","21","48486","244057","4902272"
"World of Warcraft","November 2015","7","362","13283","7","974","9","10","93611","260547","9550555"
"World of Warcraft","December 2015","7","435","15293","6","1101","7","15","57570","323872","11362961"
"World of Warcraft","January 2016","8","461","11805","7","1180","9","155","46130","342978","8771452"
"World of Warcraft","February 2016","8","416","9108","10","1179","7","57","29872","289330","6330745"
"World of Warcraft","March 2016","9","397","9250","9","1078","7","28","45853","295301","6873120"
"World of Warcraft","April 2016","10","394","10675","7","1011","11","16","55342","283609","7675362"
"World of Warcraft","May 2016","11","373","11483","7","1008","9","12","57379","277450","8532283"
"World of Warcraft","June 2016","8","397","10686","9","928","10","22","43534","285629","7683385"
"World of Warcraft","July 2016","9","410","13401","8","870","8","163","73797","304908","9957230"
"World of Warcraft","August 2016","6","644","27170","5","4567","2","3","227428","478771","20187726"
"World of Warcraft","September 2016","4","1000","38322","4","3452","2","7","111546","719139","27553668"
"World of Warcraft","October 2016","4","804","25329","5","2324","3","7","105419","597772","18819570"
"World of Warcraft","November 2016","5","694","20925","6","1926","5","8","89235","499425","15045660"
"World of Warcraft","December 2016","6","613","16285","7","1678","6","19","52035","455806","12099784"
"World of Warcraft","January 2017","5","736","17322","7","2634","4","177","45003","547096","12870858"
"World of Warcraft","February 2017","5","710","17158","8","1879","6","46","36882","476595","11513629"
"World of Warcraft","March 2017","6","614","12272","9","1606","6","50","29497","456697","9118258"
"World of Warcraft","April 2017","6","607","12734","9","1524","7","39","39841","436828","9155878"
"World of Warcraft","May 2017","6","572","11008","10","1551","7","54","30738","425025","8179253"
"World of Warcraft","June 2017","6","630","14237","10","2504","3","23","50661","453104","10237012"
"World of Warcraft","July 2017","6","684","15018","9","1860","5","149","50871","508288","11158771"
"World of Warcraft","August 2017","5","607","12564","10","1565","6","28","51350","451582","9335595"
"World of Warcraft","September 2017","6","646","15997","9","1677","7","15","66513","465017","11502481"
"World of Warcraft","October 2017","7","623","13189","12","1722","6","20","79204","463056","9800138"
"World of Warcraft","November 2017","7","747","24600","10","3142","1","10","114050","537709","17687599"
"World of Warcraft","December 2017","6","846","19060","9","2497","5","25","54073","628940","14161787"
"World of Warcraft","January 2018","6","853","16323","12","2219","6","93","111552","633951","12127995"
"World of Warcraft","February 2018","6","933","22631","9","2268","6","14","85439","626222","15185590"
"World of Warcraft","March 2018","7","845","15213","10","2139","9","24","56918","628242","11303385"
"World of Warcraft","April 2018","6","815","17190","10","2054","7","14","93738","586630","12359684"
"World of Warcraft","May 2018","6","761","17834","9","2032","6","25","70073","565591","13250690"
"World of Warcraft","June 2018","8","700","16698","12","1687","10","36","138109","503814","12006116"
"World of Warcraft","July 2018","8","839","29620","9","1843","5","13","128223","624059","22008322"
"World of Warcraft","August 2018","3","1916","75626","4","15619","2","5","590245","1424162","56190633"
"World of Warcraft","September 2018","3","1827","65635","4","6322","3","5","308114","1314172","47191970"
"World of Warcraft","October 2018","5","1210","34325","6","3543","5","14","110915","899771","25504161"
"World of Warcraft","November 2018","8","933","26968","9","2629","6","5","266514","670937","19390576"
"World of Warcraft","December 2018","9","779","18460","14","2291","10","29","63603","579218","13715833"
"World of Warcraft","January 2019","9","946","24467","10","3736","7","47","156889","703606","18179362"
"World of Warcraft","February 2019","9","1012","32355","8","2747","7","8","211037","679217","21710870"
"World of Warcraft","March 2019","11","959","19605","12","2527","8","25","83100","712719","14566760"
"World of Warcraft","April 2019","11","878","24067","11","2475","6","15","99545","631891","17304829"
"World of Warcraft","May 2019","11","959","54799","6","2812","4","7","207693","713266","40716238"
"World of Warcraft","June 2019","12","901","43596","6","2236","12","8","210299","647822","31345561"
"World of Warcraft","July 2019","13","948","49720","8","3039","4","8","218084","704873","36942422"
"World of Warcraft","August 2019","3","2145","91379","4","19085","1","1","1103295","1594116","67894760"
"World of Warcraft","September 2019","2","3148","124925","1","7890","2","4","376038","2264059","89821179"
"World of Warcraft","October 2019","4","1675","48511","6","4003","6","12","139148","1244625","36044063"
"World of Warcraft","November 2019","6","1320","37342","9","3684","5","14","163200","949764","26848994"
"World of Warcraft","December 2019","7","1102","27185","9","2933","7","19","83895","819153","20198621"
"World of Warcraft","January 2020","8","1266","37097","8","4077","3","27","167799","940687","27563181"
"World of Warcraft","February 2020","7","1452","45670","8","4240","4","4","293197","1009217","31740780"
"World of Warcraft","March 2020","9","1475","27371","13","4060","8","31","73509","1096231","20337340"
"World of Warcraft","April 2020","10","1844","45915","10","4515","9","19","150840","1326196","33013013"
"World of Warcraft","May 2020","10","1882","49397","11","4731","12","22","123076","1398699","36702327"
"World of Warcraft","June 2020","11","1557","45063","11","4178","13","19","137907","1119802","32400568"
"World of Warcraft","July 2020","10","1614","47434","10","3821","9","12","247146","1199477","35243547"
"World of Warcraft","August 2020","11","1652","40715","12","4059","9","27","125034","1227978","30251347"
"World of Warcraft","September 2020","11","1498","39405","12","3889","12","32","114189","1077759","28332755"
"World of Warcraft","October 2020","14","1509","44992","13","3721","13","20","210166","1121230","33429794"
"World of Warcraft","November 2020","10","2376","76034","7","25791","1","2","933430","1708742","54668977"
"World of Warcraft","December 2020","9","3154","121403","4","11273","4","8","411898","2343848","90202480"
"World of Warcraft","January 2021","10","2566","60185","12","6800","10","35","146763","1906856","44718092"
"World of Warcraft","February 2021","12","2097","43820","15","6206","9","35","143476","1407371","29403463"
"World of Warcraft","March 2021","11","1893","46027","12","5486","10","22","200606","1406577","34198319"
"World of Warcraft","April 2021","13","1633","40244","12","4963","11","27","157874","1174589","28935795"
"World of Warcraft","May 2021","14","1512","46190","14","4476","13","33","144989","1124116","34319608"
"World of Warcraft","June 2021","11","1841","73458","10","8423","6","7","434559","1323880","52816476"
"World of Warcraft","July 2021","12","1645","63945","9","5801","11","15","315079","1222339","47511323"
"World of Warcraft","August 2021","12","1320","26577","16","3948","13","134","59009","981434","19746958"
"World of Warcraft","September 2021","13","1262","23727","19","4539","15","38","97771","907968","17060029"
"World of Warcraft","October 2021","17","988","16770","25","3237","16","129","45051","734448","12460845"
"World of Warcraft","November 2021","15","1101","28809","16","3555","18","32","122036","791707","20714195"
"World of Warcraft","December 2021","16","1046","30112","15","3177","16","89","76285","777745","22373247"
"World of Warcraft","January 2022","17","1059","30462","19","3400","16","35","129626","787304","22633405"
"World of Warcraft","February 2022","20","1042","24904","23","3271","19","34","132968","699403","16710842"
"World of Warcraft","March 2022","15","1286","75241","9","4420","11","14","284679","955532","55904658"
"World of Warcraft","April 2022","13","1215","35248","16","3335","12","7","514105","873742","25343860"
"World of Warcraft","May 2022","13","1175","30198","13","3589","11","25","129241","873079","22437537"
"World of Warcraft","June 2022","14","1059","27247","18","3036","15","32","122452","762022","19591211"
"World of Warcraft","July 2022","17","934","30170","16","2545","17","20","170747","694490","22417006"
"World of Warcraft","August 2022","14","1083","34544","13","2950","17","37","123167","804784","25666800"
"World of Warcraft","September 2022","12","1463","62988","9","7095","7","12","388768","1052474","45288384"
"World of Warcraft","October 2022","16","1229","44619","10","3166","15","19","146514","913813","33151997"
"World of Warcraft","November 2022","16","1258","60330","9","12297","3","5","800359","904646","43377335"
"World of Warcraft","December 2022","12","1607","101007","3","4857","12","8","308544","1194229","75048722"
"World of Warcraft","January 2023","14","1503","46242","13","4704","11","33","106922","1117171","34357942"
"World of Warcraft","February 2023","14","1334","37812","13","3829","16","29","126916","895263","25372324"
"World of Warcraft","March 2023","17","1148","29914","14","3229","14","33","95917","853150","22226550"
"World of Warcraft","April 2023","17","1153","32895","11","2952","20","23","125509","829251","23651679"
"World of Warcraft","May 2023","13","1510","71582","7","4772","11","11","319816","1122269","53185999"
"World of Warcraft","June 2023","17","1000","26976","18","2968","16","73","60750","719231","19396410"
"World of Warcraft","July 2023","20","942","28890","16","2581","14","29","93232","700026","21465454"
"World of Warcraft","August 2023","21","985","37687","12","3159","19","28","179973","732389","28002057"
"MineCraft","August 2015","4","784","9959","8","1359","5","12","150904","583155","7400134"
"MineCraft","September 2015","5","559","7364","13","1322","5","53","33543","402118","5295039"
"MineCraft","October 2015","4","526","8122","8","1216","7","15","56948","391029","6035121"
"MineCraft","November 2015","6","453","8334","11","1060","8","18","46412","325818","5992762"
"MineCraft","December 2015","5","581","13917","7","1332","6","12","74158","432184","10341058"
"MineCraft","January 2016","5","659","13769","6","1538","7","151","64432","490002","10231056"
"MineCraft","February 2016","5","633","12899","6","1441","6","14","68098","440549","8965231"
"MineCraft","March 2016","6","603","13500","7","1438","6","14","90527","448411","10030905"
"MineCraft","April 2016","7","578","10577","8","1398","7","14","61290","416176","7605339"
"MineCraft","May 2016","6","547","9217","9","1215","8","26","41069","407008","6848639"
"MineCraft","June 2016","6","613","10199","10","1208","7","18","54277","440946","7333796"
"MineCraft","July 2016","7","598","10198","9","1056","7","181","47731","444318","7577550"
"MineCraft","August 2016","8","541","7902","12","1003","10","34","36111","402260","5871886"
"MineCraft","September 2016","8","389","6076","13","951","10","26","32506","280169","4368646"
"MineCraft","October 2016","8","387","6116","12","884","15","28","39662","288039","4544535"
"MineCraft","November 2016","9","395","10579","10","943","11","11","82474","284458","7606529"
"MineCraft","December 2016","9","435","10772","9","944","9","11","72870","323333","8004324"
"MineCraft","January 2017","9","485","13532","9","1134","9","157","91193","360769","10054852"
"MineCraft","February 2017","10","442","9509","14","957","14","7","104992","296730","6380643"
"MineCraft","March 2017","10","376","7569","17","925","16","34","39172","279486","5623943"
"MineCraft","April 2017","11","366","9052","13","790","14","16","55946","263337","6508772"
"MineCraft","May 2017","13","346","8616","14","776","14","17","62008","257749","6402031"
"MineCraft","June 2017","12","398","7247","17","711","15","30","44423","286168","5211026"
"MineCraft","July 2017","9","457","7322","11","769","14","193","34758","339711","5440282"
"MineCraft","August 2017","10","407","6581","12","724","15","35","45352","302885","4890416"
"MineCraft","September 2017","11","311","5592","19","684","16","20","51860","224026","4021099"
"MineCraft","October 2017","15","295","5771","23","622","22","47","38970","219293","4288002"
"MineCraft","November 2017","14","293","8725","14","654","18","19","63658","210939","6273574"
"MineCraft","December 2017","15","309","5845","20","667","18","28","50986","230126","4343532"
"MineCraft","January 2018","13","346","5381","30","681","17","200","34987","257452","3998724"
"MineCraft","February 2018","14","324","4970","26","638","19","58","32807","217642","3334973"
"MineCraft","March 2018","14","302","4881","27","596","20","73","30679","224520","3626808"
"MineCraft","April 2018","16","306","5551","25","608","20","117","26687","220230","3991870"
"MineCraft","May 2018","15","287","4137","32","544","27","165","16149","213467","3074493"
"MineCraft","June 2018","16","325","4283","35","552","24","211","27186","234185","3079644"
"MineCraft","July 2018","14","388","6989","17","687","15","28","48864","288429","5193371"
"MineCraft","August 2018","15","411","7181","21","877","20","54","44143","306035","5336083"
"MineCraft","September 2018","19","339","5616","30","682","26","21","65539","243973","4038129"
"MineCraft","October 2018","17","329","5926","27","649","22","81","35072","245127","4403349"
"MineCraft","November 2018","18","340","5789","34","744","27","52","44783","245158","4162500"
"MineCraft","December 2018","18","399","8610","25","769","24","89","35755","296581","6397637"
"MineCraft","January 2019","15","536","14573","18","1008","22","144","61475","398412","10827913"
"MineCraft","February 2019","16","495","9339","21","933","23","22","82949","332266","6267012"
"MineCraft","March 2019","16","527","7310","27","1013","21","41","38962","391789","5431901"
"MineCraft","April 2019","13","597","8549","21","1222","19","51","36014","429837","6147358"
"MineCraft","May 2019","12","768","12003","15","1467","13","26","75748","571032","8918471"
"MineCraft","June 2019","11","944","23746","13","1577","17","9","209184","679219","17073543"
"MineCraft","July 2019","4","1475","25209","12","2547","7","13","152011","1096565","18730470"
"MineCraft","August 2019","5","1751","44063","9","2979","5","12","233472","1301621","32739148"
"MineCraft","September 2019","5","1405","32808","8","2955","7","12","176485","1010450","23589113"
"MineCraft","October 2019","10","982","20275","12","2147","9","10","152441","729787","15065040"
"MineCraft","November 2019","11","858","21924","15","1797","12","16","136705","617092","15763839"
"MineCraft","December 2019","11","984","22777","13","1852","15","10","164241","731539","16923425"
"MineCraft","January 2020","11","1134","25178","12","2151","12","17","181623","842914","18707737"
"MineCraft","February 2020","11","1147","24784","12","2207","11","12","128086","797537","17225482"
"MineCraft","March 2020","7","1573","30915","11","3744","10","10","225095","1168906","22970430"
"MineCraft","April 2020","7","2321","57201","9","4077","11","9","317297","1669376","41127736"
"MineCraft","May 2020","9","2398","55304","9","4034","14","6","481719","1782172","41091438"
"MineCraft","June 2020","7","2403","54072","10","4747","9","9","397172","1728072","38878256"
"MineCraft","July 2020","6","2800","71150","7","4437","7","5","443809","2081006","52864781"
"MineCraft","August 2020","8","2614","54322","9","4520","8","10","374683","1942298","40361660"
"MineCraft","September 2020","8","2154","54320","8","3771","14","7","431196","1549038","39056368"
"MineCraft","October 2020","10","2426","67023","9","4489","10","6","472079","1802763","49798217"
"MineCraft","November 2020","7","3102","106454","5","6133","12","4","591072","2231010","76540606"
"MineCraft","December 2020","5","3682","97096","5","7060","8","5","591932","2736322","72142619"
"MineCraft","January 2021","4","4834","107774","6","9892","4","4","931417","3591863","80076090"
"MineCraft","February 2021","5","5252","122824","5","9887","5","4","705038","3524597","82415310"
"MineCraft","March 2021","8","4601","118148","6","9524","3","5","710031","3419021","87784445"
"MineCraft","April 2021","8","4329","110888","7","8914","4","5","763078","3112654","79728626"
"MineCraft","May 2021","8","3807","103178","7","7760","8","6","973241","2829132","76661535"
"MineCraft","June 2021","8","3952","100647","6","7623","9","5","514710","2841782","72365696"
"MineCraft","July 2021","8","3794","72172","8","6323","8","1","903936","2819049","53624353"
"MineCraft","August 2021","7","3579","102214","7","6027","7","3","905543","2659710","75945145"
"MineCraft","September 2021","8","2948","106416","5","5700","10","4","803027","2120032","76513540"
"MineCraft","October 2021","9","2648","91009","7","4811","12","5","763520","1968173","67619774"
"MineCraft","November 2021","9","2459","77815","7","4923","12","7","604094","1768233","55949329"
"MineCraft","December 2021","7","2907","73573","7","6059","7","5","649098","2159925","54665157"
"MineCraft","January 2022","8","2908","81167","9","5310","11","1","2189881","2161237","60307178"
"MineCraft","February 2022","10","2600","50602","13","4469","13","6","662095","1745091","33954303"
"MineCraft","March 2022","11","2171","41503","14","4382","12","7","420147","1613715","30836960"
"MineCraft","April 2022","11","2191","38748","12","3928","11","9","421274","1575874","27860061"
"MineCraft","May 2022","10","1889","32982","12","3500","12","8","413359","1403995","24505796"
"MineCraft","June 2022","9","2177","55609","10","3623","13","3","1124877","1565791","39983135"
"MineCraft","July 2022","8","2835","72326","6","4520","11","3","775386","2106598","53738426"
"MineCraft","August 2022","8","2902","123861","5","6347","10","4","813879","2156558","92029077"
"MineCraft","September 2022","9","2176","87206","5","4085","15","6","609250","1564840","62701361"
"MineCraft","October 2022","11","1835","58643","9","3537","14","9","603830","1363609","43572213"
"MineCraft","November 2022","12","1772","61595","8","3663","16","12","358027","1274540","44286836"
"MineCraft","December 2022","11","1761","45731","10","4347","15","7","323874","1308601","33978183"
"MineCraft","January 2023","9","2343","98079","6","4833","9","4","684097","1741344","72872812"
"MineCraft","February 2023","10","2321","60275","8","4820","13","1","1702513","1558034","40445071"
"MineCraft","March 2023","9","2091","74955","6","4140","12","1","1621931","1553855","55692185"
"MineCraft","April 2023","9","2281","92347","6","4124","14","5","510301","1640144","66397678"
"MineCraft","May 2023","9","2027","81048","6","3644","14","8","360750","1506114","60219381"
"MineCraft","June 2023","10","2414","55185","8","3885","13","13","301721","1736047","39678726"
"MineCraft","July 2023","9","2591","52985","9","4008","11","13","233850","1925411","39368079"
"MineCraft","August 2023","9","2454","59035","8","3944","14","9","405622","1823507","43863287"
